24/02/2018 04:49:05 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :1mbjbxurt2mtdkt2ynvrwinq | FirstName : hasti
24/02/2018 04:49:42 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :3ulfec4g2prqxe4aszll05zz | FirstName : hasti
24/02/2018 04:51:11 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :uwdqfqr2jhffhw3atcupk5tj | FirstName : hasti
24/02/2018 04:52:16 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :04ttpnqq0t2eeyjrsyg25ywd | FirstName : test
24/02/2018 04:54:26 PM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :nztw4ah5oppmllvezjl5sjng | FirstName : hasti
24/02/2018 04:55:37 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :alcph3snh0htyhqufzp5yc0a | FirstName : fghuj
24/02/2018 04:59:42 PM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :qh2siy5dyxidkfmycvl4y2r2 | FirstName : hasti
24/02/2018 05:00:17 PM SIDDHESH-PC COMFLEX\1150 iisexpress 13  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :uvrokrcflhuit3c2ivkoi3gq | FirstName : hasti
24/02/2018 05:00:52 PM SIDDHESH-PC COMFLEX\1150 iisexpress 13  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ey044s1ryh2ukoepv5ruadxm | FirstName : hasti
24/02/2018 05:03:09 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : whhnx2fxzcqhe1b201hyloms | FirstName : jay
24/02/2018 05:05:00 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID [file exist] : n2vhy3uabwokfpvsrvczfwbk | FirstName : jay
24/02/2018 05:05:08 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :x3042pw1zj0bs1g5r3sznrnh | FirstName : hasti
24/02/2018 05:07:10 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :bwxck0glsfrwnpuc22lsgxii | FirstName : hasti
24/02/2018 05:07:32 PM SIDDHESH-PC COMFLEX\1150 iisexpress 5   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :wvujebldj3fiohkeule2qfrj | FirstName : addsf
24/02/2018 05:09:28 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :fo3ch2g5nw4koxqikkyonb4b | FirstName : hasti
24/02/2018 05:11:46 PM SIDDHESH-PC COMFLEX\1150 iisexpress 25  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :brgopp25ezp3hinutr1sbmxn | FirstName : basbab
24/02/2018 05:12:52 PM SIDDHESH-PC COMFLEX\1150 iisexpress 15  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :3d52x4cg0d22yxyakeck1gpg | FirstName : hasti
24/02/2018 05:13:52 PM SIDDHESH-PC COMFLEX\1150 iisexpress 18  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :wlz2huvxyl3lbvyfbgz1cvzi | FirstName : kenia
24/02/2018 05:14:54 PM SIDDHESH-PC COMFLEX\1150 iisexpress 22  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :cvqx4yhevlj5gkrjwbnefhap | FirstName : test
24/02/2018 05:17:13 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :v2lf2pwguecvjyzppwhxxpvq | FirstName : hasti
24/02/2018 05:19:44 PM SIDDHESH-PC COMFLEX\1150 iisexpress 5   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :uczkpswa1gv4xxofyify12dv | FirstName : hasatissd
24/02/2018 05:20:01 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :hbr2wie4qm5ok5ui5tc1mstt | FirstName : sdfgdfg
24/02/2018 05:20:04 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :3mqgmox35audoo5xirb2ktbq | FirstName : sdfgdfghjk
24/02/2018 05:20:09 PM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :zbxu5yeuz1hubx50sjpnc3yu | FirstName : hasti
24/02/2018 05:24:26 PM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ohhev1w32lvq5wynluff5ldz | FirstName : test
24/02/2018 05:29:20 PM SIDDHESH-PC COMFLEX\1150 iisexpress 6   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :n2awufsuopnvdir3wduvlv2q | FirstName : test
24/02/2018 05:29:51 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :xkuxywywj1lemvay5kdl554n | FirstName : text
